XCoord,YCoord,MAJOR,MINOR
-7744.00830000,4865058.02840000,1,1
-7757.84640000,4865057.37160000,1,10
-7751.19730000,4865052.80620000,1,11
-7762.34710000,4865057.09850000,1,12
-7749.04100000,4865048.84660000,1,13
-7755.73470000,4865052.54750000,1,14
-7760.16630000,4865053.18250000,1,15
-7753.51830000,4865048.61710000,1,16
-7764.65140000,4865052.93110000,1,17
-7751.33420000,4865044.68080000,1,18
-7758.04010000,4865048.38600000,1,19
-7748.99320000,4865060.78630000,1,2
-7762.47400000,4865049.00790000,1,20
-7755.82820000,4865044.44390000,1,21
-7753.59510000,4865040.61660000,1,22
-7760.82530000,4865044.61680000,1,23
-7767.27850000,4865048.19280000,1,24
-7752.32500000,4865062.63170000,1,3
-7757.64830000,4865065.58280000,1,4
-7748.30860000,4865056.75550000,1,5
-7755.87490000,4865060.94030000,1,6
-7753.01070000,4865057.46030000,1,7
-7760.00380000,4865061.33410000,1,8
-7746.69660000,4865053.08080000,1,9
