id,x,y,type
1,16.023,11.130,2
1,16.038,11.215,2
1,16.023,11.301,2
1,15.980,11.375,2
1,15.874,11.450,2
1,15.789,11.465,2
1,15.704,11.449,2
1,15.598,11.375,2
1,15.554,11.299,2
1,15.539,11.214,2
1,15.553,11.129,2
1,15.597,11.054,2
1,15.703,10.979,2
1,15.789,10.965,2
1,15.873,10.980,2
1,15.948,11.023,2
1,16.023,11.130,2
2,16.253,14.314,1
2,15.359,14.314,1
2,15.358,11.514,1
2,16.253,11.514,1
2,16.253,14.314,1
3,18.041,14.314,1
3,17.147,14.314,1
3,17.147,11.513,1
3,18.041,11.514,1
3,18.041,14.314,1
4,16.253,9.924,1
4,15.360,9.924,1
4,15.359,7.124,1
4,16.253,7.124,1
4,16.253,9.924,1
5,16.014,5.732,2
5,16.026,5.861,2
5,15.996,5.942,2
5,15.940,6.008,2
5,15.865,6.052,2
5,15.781,6.067,2
5,15.695,6.052,2
5,15.590,5.977,2
5,15.546,5.902,2
5,15.531,5.817,2
5,15.565,5.692,2
5,15.619,5.625,2
5,15.694,5.582,2
5,15.780,5.567,2
5,15.904,5.601,2
5,15.971,5.657,2
5,16.014,5.732,2
6,19.829,14.314,1
6,18.935,14.313,1
6,18.935,11.513,1
6,19.829,11.514,1
6,19.829,14.314,1
7,18.041,9.924,1
7,17.147,9.924,1
7,17.147,7.124,1
7,18.041,7.124,1
7,18.041,9.924,1
8,16.252,5.535,1
8,15.359,5.534,1
8,15.359,2.734,1
8,16.253,2.735,1
8,16.252,5.535,1
9,21.617,14.314,1
9,20.723,14.313,1
9,20.723,11.513,1
9,21.618,11.514,1
9,21.617,14.314,1
10,21.409,11.139,2
10,21.424,11.225,2
10,21.409,11.310,2
10,21.366,11.385,2
10,21.261,11.459,2
10,21.175,11.475,2
10,21.090,11.459,2
10,20.984,11.385,2
10,20.941,11.309,2
10,20.925,11.224,2
10,20.959,11.099,2
10,21.015,11.033,2
10,21.090,10.990,2
10,21.174,10.975,2
10,21.260,10.990,2
10,21.365,11.064,2
10,21.409,11.139,2
11,19.830,9.924,1
11,18.935,9.924,1
11,18.935,7.124,1
11,19.829,7.124,1
11,19.830,9.924,1
12,18.042,5.535,1
12,17.147,5.534,1
12,17.147,2.735,1
12,18.041,2.735,1
12,18.042,5.535,1
13,23.406,14.314,1
13,22.512,14.314,1
13,22.511,11.514,1
13,23.406,11.514,1
13,23.406,14.314,1
14,21.618,9.924,1
14,20.723,9.924,1
14,20.723,7.124,1
14,21.617,7.124,1
14,21.618,9.924,1
15,21.401,5.741,2
15,21.417,5.827,2
15,21.383,5.952,2
15,21.327,6.019,2
15,21.252,6.061,2
15,21.168,6.076,2
15,21.043,6.043,2
15,20.976,5.987,2
15,20.933,5.912,2
15,20.918,5.826,2
15,20.933,5.741,2
15,21.006,5.635,2
15,21.081,5.592,2
15,21.167,5.576,2
15,21.251,5.592,2
15,21.327,5.636,2
15,21.401,5.741,2
16,19.829,5.535,1
16,18.935,5.535,1
16,18.935,2.735,1
16,19.829,2.735,1
16,19.829,5.535,1
17,25.194,14.314,1
17,24.299,14.314,1
17,24.299,11.514,1
17,25.194,11.514,1
17,25.194,14.314,1
18,23.405,9.924,1
18,22.511,9.924,1
18,22.511,7.124,1
18,23.405,7.124,1
18,23.405,9.924,1
19,21.617,5.535,1
19,20.723,5.535,1
19,20.724,2.735,1
19,21.617,2.735,1
19,21.617,5.535,1
20,26.982,14.314,1
20,26.087,14.314,1
20,26.088,11.514,1
20,26.982,11.514,1
20,26.982,14.314,1
21,26.796,11.149,2
21,26.811,11.235,2
21,26.777,11.360,2
21,26.722,11.427,2
21,26.648,11.469,2
21,26.562,11.484,2
21,26.477,11.469,2
21,26.402,11.425,2
21,26.328,11.319,2
21,26.313,11.234,2
21,26.327,11.149,2
21,26.402,11.043,2
21,26.477,10.999,2
21,26.605,10.988,2
21,26.687,11.018,2
21,26.752,11.075,2
21,26.796,11.149,2
22,25.193,9.924,1
22,24.300,9.924,1
22,24.300,7.124,1
22,25.193,7.124,1
22,25.193,9.924,1
23,23.405,5.535,1
23,22.512,5.535,1
23,22.511,2.735,1
23,23.405,2.735,1
23,23.405,5.535,1
24,28.770,14.314,1
24,27.876,14.314,1
24,27.876,11.514,1
24,28.769,11.514,1
24,28.770,14.314,1
25,26.981,9.924,1
25,26.088,9.924,1
25,26.088,7.125,1
25,26.981,7.125,1
25,26.981,9.924,1
26,26.788,5.752,2
26,26.800,5.880,2
26,26.770,5.962,2
26,26.714,6.028,2
26,26.639,6.072,2
26,26.554,6.086,2
26,26.469,6.071,2
26,26.394,6.028,2
26,26.319,5.922,2
26,26.305,5.836,2
26,26.319,5.750,2
26,26.393,5.645,2
26,26.468,5.601,2
26,26.553,5.586,2
26,26.639,5.602,2
26,26.744,5.676,2
26,26.788,5.752,2
27,25.193,5.535,1
27,24.300,5.535,1
27,24.299,2.735,1
27,25.194,2.734,1
27,25.193,5.535,1
28,30.558,14.314,1
28,29.664,14.314,1
28,29.664,11.514,1
28,30.557,11.514,1
28,30.558,14.314,1
29,28.769,9.925,1
29,27.876,9.924,1
29,27.876,7.125,1
29,28.770,7.124,1
29,28.769,9.925,1
30,26.982,5.534,1
30,26.087,5.535,1
30,26.087,2.735,1
30,26.982,2.734,1
30,26.982,5.534,1
31,30.558,9.924,1
31,29.664,9.924,1
31,29.664,7.125,1
31,30.558,7.124,1
31,30.558,9.924,1
32,28.770,5.534,1
32,27.875,5.535,1
32,27.875,2.735,1
32,28.770,2.734,1
32,28.770,5.534,1
33,30.558,5.534,1
33,29.663,5.535,1
33,29.664,2.734,1
33,30.557,2.734,1
33,30.558,5.534,1
