XCoord,YCoord,NUMBER,FLOOR
-7756.0781,4865062.541,1,5
-7754.8598,4865061.17,2,5
-7754.5507,4865059.571,3,5
-7752.1885,4865057.705,4,5
-7750.9471,4865056.419,5,5
-7748.3293,4865055.539,6,5
-7748.3094,4865052.85,7,5
-7750.8076,4865054.252,8,5
-7754.4059,4865056.272,9,5
-7759.4688,4865059.089,10,5
-7759.4011,4865056.398,11,5
-7757.8286,4865054.827,12,5
-7754.4441,4865053.566,13,5
-7750.5931,4865051.43,14,5
-7753.4455,4865049.911,15,5
-7756.7534,4865049.507,16,5
-7760.4076,4865051.558,17,5
-7762.8942,4865050.3,18,5
-7759.0267,4865048.105,19,5
-7756.2319,4865045.873,20,5
-7753.9999,4865042.631,21,5
-7753.9999,4865042.631,22,5
-7757.6085,4865044.631,23,5
-7760.086,4865046.071,24,5
-7765.1966,4865048.89,25,5
-7756.0781,4865062.541,50,3
-7754.8598,4865061.17,49,3
-7754.5507,4865059.571,48,3
-7752.1885,4865057.705,47,3
-7750.9471,4865056.419,46,3
-7748.3293,4865055.539,45,3
-7748.3094,4865052.85,44,3
-7750.8076,4865054.252,43,3
-7754.4059,4865056.272,42,3
-7759.4688,4865059.089,41,3
-7759.4011,4865056.398,40,3
-7757.8286,4865054.827,39,3
-7754.4441,4865053.566,38,3
-7750.5931,4865051.43,37,3
-7753.4455,4865049.911,36,3
-7756.7534,4865049.507,35,3
-7760.4076,4865051.558,34,3
-7762.8942,4865050.3,33,3
-7759.0267,4865048.105,32,3
-7756.2319,4865045.873,31,3
-7753.9999,4865042.631,30,3
-7753.9999,4865042.631,29,3
-7757.6085,4865044.631,28,3
-7760.086,4865046.071,27,3
-7765.1966,4865048.89,26,3
