XCoord,YCoord,SPACEID,NUMBER,FLOOR
-7756.07810000,4865062.54140000,bib,01,5
-7754.85980000,4865061.16970000,bib,02,5
-7754.55070000,4865059.57140000,bib,03,5
-7752.18850000,4865057.70520000,bib,04,5
-7750.94710000,4865056.41890000,bib,05,5
-7748.32930000,4865055.53930000,bib,06,5
-7748.30940000,4865052.85030000,bib,07,5
-7750.80760000,4865054.25240000,bib,08,5
-7754.40590000,4865056.27190000,bib,09,5
-7759.46880000,4865059.08880000,bib,10,5
-7759.40110000,4865056.39760000,bib,11,5
-7757.82860000,4865054.82720000,bib,12,5
-7754.44410000,4865053.56640000,bib,13,5
-7750.59310000,4865051.42970000,bib,14,5
-7753.44550000,4865049.91060000,bib,15,5
-7756.75340000,4865049.50700000,bib,16,5
-7760.40760000,4865051.55780000,bib,17,5
-7762.89420000,4865050.30010000,bib,18,5
-7759.02670000,4865048.10500000,bib,19,5
-7756.23190000,4865045.87320000,bib,20,5
-7753.99990000,4865042.63060000,bib,21,5
-7753.99990000,4865042.63060000,bib,22,5
-7757.60850000,4865044.63130000,bib,23,5
-7760.08600000,4865046.07090000,bib,24,5
-7765.19660000,4865048.88990000,bib,25,5
-7756.07810000,4865062.54140000,bib,50,3
-7754.85980000,4865061.16970000,bib,49,3
-7754.55070000,4865059.57140000,bib,48,3
-7752.18850000,4865057.70520000,bib,47,3
-7750.94710000,4865056.41890000,bib,46,3
-7748.32930000,4865055.53930000,bib,45,3
-7748.30940000,4865052.85030000,bib,44,3
-7750.80760000,4865054.25240000,bib,43,3
-7754.40590000,4865056.27190000,bib,42,3
-7759.46880000,4865059.08880000,bib,41,3
-7759.40110000,4865056.39760000,bib,40,3
-7757.82860000,4865054.82720000,bib,39,3
-7754.44410000,4865053.56640000,bib,38,3
-7750.59310000,4865051.42970000,bib,37,3
-7753.44550000,4865049.91060000,bib,36,3
-7756.75340000,4865049.50700000,bib,35,3
-7760.40760000,4865051.55780000,bib,34,3
-7762.89420000,4865050.30010000,bib,33,3
-7759.02670000,4865048.10500000,bib,32,3
-7756.23190000,4865045.87320000,bib,31,3
-7753.99990000,4865042.63060000,bib,30,3
-7753.99990000,4865042.63060000,bib,29,3
-7757.60850000,4865044.63130000,bib,28,3
-7760.08600000,4865046.07090000,bib,27,3
-7765.19660000,4865048.88990000,bib,26,3
